Type,Category,Region,Attack on
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC WEST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Explosive Hazard,IED False,RC CAPITAL,ENEMY
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Air Mission,MEDEVAC,RC EAST,UNKNOWN
Friendly Action,Indirect Fire,RC EAST,FRIEND
Friendly Action,Direct Fire,RC EAST,FRIEND
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Friendly Action,Other,RC EAST,FRIEND
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Detainee Operations,Transfer,RC EAST,UNKNOWN
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Friendly Action,Convoy,RC EAST,FRIEND
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Friendly Action,Attack,RC SOUTH,FRIEND
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC EAST,ENEMY
Non-Combat Event,Meeting,RC CAPITAL,NEUTRAL
Enemy Action,Attack,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,SAFIRE,RC EAST,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Explosive Hazard,Turn In,RC EAST,ENEMY
Friendly Action,Detainee Transfer,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Friendly Action,Direct Fire,RC EAST,FRIEND
Friendly Action,MEDEVAC,RC EAST,FRIEND
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Enemy Action,Attack,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Detainee Operations,Transfer,RC EAST,UNKNOWN
Friendly Action,Attack,RC SOUTH,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Other,Other,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC WEST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Other,Planned Event,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Friendly Action,Other,RC EAST,FRIEND
Enemy Action,Ambush,RC SOUTH,ENEMY
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Other,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Non-Combat Event,MEDCAP,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,Mine Strike,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Enemy Action,Attack,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Enemy Action,Attack,RC SOUTH,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Project Closeout,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Detained,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Explosive Hazard,IED False,RC EAST,ENEMY
Explosive Hazard,IED False,RC EAST,ENEMY
Explosive Hazard,IED Ambush,RC SOUTH,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC WEST,ENEMY
Explosive Hazard,IED Found/Cleared,RC WEST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,MEDEVAC (Local National),RC EAST,FRIEND
Friendly Action,Close Air Support,RC EAST,FRIEND
Air Mission,MEDEVAC,RC EAST,UNKNOWN
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Friendly Action,MEDEVAC (Local National),RC CAPITAL,FRIEND
Detainee Operations,Transfer,RC EAST,UNKNOWN
Other,Planned Event,RC EAST,NEUTRAL
Friendly Action,Attack,RC SOUTH,FRIEND
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Non-Combat Event,Other,UNKNOWN,NEUTRAL
Explosive Hazard,IED Explosion,RC CAPITAL,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Other,Other,RC EAST,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Enemy Action,SAFIRE,RC EAST,ENEMY
Criminal Event,Carjacking,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Non-Combat Event,Accident,RC CAPITAL,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Criminal Event,Criminal Activity,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Enemy Action,Ambush,RC SOUTH,ENEMY
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Detainee Operations,Transfer,RC EAST,UNKNOWN
Detainee Operations,Transfer,RC EAST,UNKNOWN
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Friendly Action,OTHER OFFENSIVE,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Other,RC EAST,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,MEDEVAC (Local National),RC EAST,FRIEND
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Air Mission,MEDEVAC,RC EAST,UNKNOWN
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,SAFIRE,RC CAPITAL,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Project Start,RC EAST,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Project Closeout,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Friendly Action,Direct Fire,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Air Mission,MEDEVAC,RC EAST,UNKNOWN
Friendly Action,MEDEVAC Patient Transfer,RC EAST,FRIEND
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Detainee Operations,Transfer,RC EAST,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Refugees,RC EAST,NEUTRAL
Friendly Action,Cache Found/Cleared,RC CAPITAL,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Friendly Action,Other,RC EAST,FRIEND
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Friendly Action,Direct Fire,RC EAST,FRIEND
Explosive Hazard,IED False,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Attack,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC NORTH,ENEMY
Detainee Operations,Transfer,RC EAST,UNKNOWN
Other,Other,RC EAST,NEUTRAL
Detainee Operations,Transfer,RC EAST,UNKNOWN
Non-Combat Event,Accident,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Ambush,RC CAPITAL,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Planned Event,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Friendly Action,Detainee Transfer,RC EAST,FRIEND
Criminal Event,Kidnapping,RC WEST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC WEST,ENEMY
Air Mission,MEDEVAC,RC EAST,UNKNOWN
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC WEST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,Interdiction,RC SOUTH,ENEMY
Explosive Hazard,Mine Strike,RC SOUTH,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Detainee Operations,Transfer,RC EAST,UNKNOWN
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED False,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Friendly Action,Patrol,RC EAST,FRIEND
Friendly Action,Other,RC EAST,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Project Start,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Other,Other,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Explosive Hazard,Mine Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,Mine Strike,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Fire,ANA-on-ANP,RC SOUTH,FRIEND
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Cache Found/Cleared,RC NORTH,FRIEND
Explosive Hazard,IED Found/Cleared,RC NORTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Non-Combat Event,Other,RC SOUTH,NEUTRAL
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Friendly Action,Patrol,RC EAST,FRIEND
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Enemy Action,Ambush,RC SOUTH,ENEMY
Enemy Action,Attack,RC SOUTH,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Friendly Action,Accident,RC EAST,FRIEND
Friendly Action,Accident,RC EAST,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC WEST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Detainee Operations,Detained,RC EAST,UNKNOWN
Enemy Action,RPG,RC SOUTH,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Detained,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Friendly Action,Cache Found/Cleared,RC NORTH,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Friendly Action,Close Air Support,RC EAST,FRIEND
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Other,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Friendly Action,Accident,RC SOUTH,FRIEND
Friendly Action,Other,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Indirect Fire,RC EAST,FRIEND
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Explosive Hazard,IED Ambush,RC SOUTH,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC WEST,ENEMY
Friendly Action,Direct Fire,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Friendly Action,MEDEVAC,RC CAPITAL,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Other,Other,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,Mine Strike,RC SOUTH,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Attack,RC WEST,FRIEND
Enemy Action,Attack,RC WEST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Friendly Action,MEDEVAC (Local National),RC EAST,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Friendly Action,Detainee Transfer,RC EAST,FRIEND
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Other,Other,RC CAPITAL,NEUTRAL
Other,Other,RC CAPITAL,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Other,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC CAPITAL,NEUTRAL
Explosive Hazard,IED False,RC SOUTH,ENEMY
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Enemy Action,Other (Hostile Action),RC SOUTH,ENEMY
Detainee Operations,Transfer,RC EAST,UNKNOWN
Enemy Action,Ambush,RC SOUTH,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,SAFIRE,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Detainee Operations,Transfer,RC EAST,UNKNOWN
Other,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Attack,RC WEST,ENEMY
Enemy Action,Attack,RC WEST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Other,Planned Event,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Escalation of Force,RC SOUTH,FRIEND
Enemy Action,Indirect Fire,RC WEST,ENEMY
Detainee Operations,Transfer,RC EAST,UNKNOWN
Other,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Fire,BLUE-on-WHITE,RC WEST,FRIEND
Enemy Action,Assassination,RC WEST,ENEMY
Enemy Action,Assassination,RC WEST,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Other,Planned Event,RC EAST,NEUTRAL
Other,Planned Event,RC EAST,NEUTRAL
Criminal Event,Theft,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Accident,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Other,Other,RC CAPITAL,NEUTRAL
Friendly Action,MEDEVAC,RC EAST,FRIEND
Explosive Hazard,IED False,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Other,Other,RC EAST,NEUTRAL
Friendly Action,Attack,RC SOUTH,FRIEND
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
